avg_typing_speed,location_encoded,login_hour,failed_attempts,location_mismatch,password_length,day_of_week,label
2.64,0,22,1,0,10,4,0
2.95,0,20,1,0,14,4,0
3.21,1,18,1,0,13,3,0
7.64,5,3,4,1,18,0,1
7.3,4,3,5,1,10,1,1
0.57,4,4,5,1,18,3,1
3.42,3,9,0,0,17,4,0
7.13,2,2,3,1,16,0,1
5.59,4,4,3,1,12,2,1
2.26,3,18,0,0,11,2,0
3.09,1,21,0,0,16,2,0
0.44,5,1,4,1,15,6,1
0.67,4,3,5,1,9,3,1
2.44,3,19,0,0,14,5,0
6.9,2,5,5,1,16,5,1
5.26,2,2,4,1,9,0,1
2.37,3,22,1,0,12,2,0
0.39,2,2,2,1,7,3,1
2.97,0,20,0,0,16,2,0
2.37,0,19,0,0,16,1,0
0.53,2,5,3,1,16,0,1
3.85,1,8,1,0,13,3,0
6.77,4,5,2,1,19,2,1
2.52,1,9,0,0,15,1,0
2.59,1,8,0,0,16,5,0
3.08,0,10,1,0,12,0,0
2.49,0,21,0,0,15,5,0
2.31,1,9,0,0,10,0,0
7.87,4,2,4,1,12,5,1
5.46,2,5,3,1,6,5,1
2.79,1,8,0,0,14,1,0
2.78,0,8,1,0,17,6,0
2.44,0,20,0,0,17,3,0
1.95,0,21,1,0,15,4,0
0.7,4,4,2,1,6,0,1
0.86,5,3,2,1,15,1,1
4.2,5,3,4,1,19,1,1
0.8,2,0,4,1,10,3,1
5.0,5,4,5,1,19,1,1
3.76,1,18,1,0,14,1,0
2.75,3,21,0,0,13,4,0
0.43,4,0,2,1,14,4,1
1.94,3,8,1,0,10,2,0
2.96,3,21,0,0,16,2,0
0.33,5,0,5,1,7,3,1
6.2,2,5,2,1,13,0,1
3.13,1,18,0,0,11,4,0
2.68,3,10,0,0,17,2,0
6.46,5,5,3,1,13,6,1
1.34,1,8,0,0,15,4,0
5.9,4,1,5,1,7,3,1
6.93,5,5,3,1,17,6,1
3.49,3,10,0,0,11,3,0
4.74,2,2,4,1,7,3,1
6.69,2,0,3,1,6,1,1
2.6,1,20,0,0,13,1,0
0.81,5,0,5,1,8,1,1
2.5,0,20,1,0,14,3,0
7.41,4,3,3,1,10,0,1
2.43,0,8,1,0,17,2,0
5.87,4,0,4,1,9,0,1
2.55,0,10,1,0,13,1,0
2.95,1,20,0,0,17,1,0
2.18,1,18,0,0,14,6,0
2.69,3,9,1,0,17,6,0
0.48,4,0,2,1,12,5,1
2.45,3,21,0,0,17,4,0
0.56,2,2,3,1,7,4,1
2.33,1,19,0,0,12,4,0
0.58,4,5,4,1,17,4,1
3.15,3,18,1,0,15,0,0
6.57,4,5,4,1,15,2,1
0.67,4,3,5,1,15,2,1
2.68,1,22,0,0,17,6,0
0.56,5,0,3,1,16,2,1
0.79,5,3,3,1,13,5,1
2.87,0,8,1,0,14,3,0
4.39,4,2,2,1,18,1,1
6.52,5,4,4,1,8,0,1
0.77,2,4,2,1,10,5,1
3.51,0,20,0,0,11,3,0
3.09,1,20,0,0,10,6,0
3.09,3,18,0,0,10,6,0
0.43,5,0,3,1,14,1,1
0.32,5,1,5,1,18,0,1
2.68,1,18,0,0,13,1,0
0.45,4,4,2,1,9,3,1
2.9,3,8,1,0,10,5,0
0.17,2,4,2,1,11,1,1
2.41,0,18,1,0,15,4,0
3.33,1,22,0,0,12,2,0
6.21,4,1,4,1,13,2,1
6.37,4,3,4,1,15,6,1
3.1,1,8,1,0,14,0,0
3.51,0,18,0,0,17,3,0
0.32,5,2,4,1,13,2,1
6.75,2,0,2,1,18,4,1
3.46,3,10,1,0,16,3,0
2.75,1,19,0,0,16,4,0
0.83,4,4,4,1,10,4,1
3.46,0,19,1,0,10,0,0
2.66,3,8,0,0,10,2,0
0.6,4,5,2,1,11,5,1
