username,typing_speed,home_country,login_country,login_city,login_region,login_zip,login_isp,login_timezone,latitude,longitude,login_ip,login_hour,failed_attempts,location_mismatch,password_length,day_of_week,ml_probability,risk_score,risk_reasons,result,ts,rf_probability,lstm_probability,lstm_used
star,0.29,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:37:20.865053,,,
aunty1234,0.0,,Unknown,,,,,,,,,,,,,,0.0,100,Wrong OTP,Blocked - Wrong OTP,2026-05-31T14:41:36.465005,,,
aunty1234,0.04,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,14.0,0.0,0.0,10.0,6.0,0.0933,20,Typing speed is very slow.,Legitimate,2026-05-31T14:41:47.250556,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:10.397315,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:11.550079,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:12.497364,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:13.548405,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:14.602497,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:15.456122,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:16.200593,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:16.976841,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:17.421203,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:18.165755,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:19.121300,,,
aunty1234,0.0,Australia,Australia,Sydney,New South Wales,2000.0,TPG Internet Pty Ltd,Australia/Sydney,-33.8672,151.1997,27.32.41.34,,,,,,0.0,100,Wrong password attempt,Failed,2026-05-31T14:42:19.842665,,,
